Desc,Cantidad,Valor,Fecha,Lugar,UUID
Dia Sig. Esp,1,130.2,2014-05-06T12:16:33,42080,F530AEF7-FC96-4672-A1A8-3D42D5413140
Dia Sig. CB,1,8.15,2014-05-06T12:16:33,42080,F530AEF7-FC96-4672-A1A8-3D42D5413140
CONSUMO,1,1293.1,2014-07-18T14:00:03,81200,F77B3E7E-6720-4B9D-AB4F-3AB1DED4267F
ALIMENTOS Y BEBIDA,1,83.62,2014-03-10T10:58:54,76010,E365A90A-C529-449E-891C-324E5821C981
ALIMENTOS Y BEBIDA,1,96.55,2014-03-10T10:58:54,76010,E365A90A-C529-449E-891C-324E5821C981
CONSUMO DE RESTAURANT,1,107.76,2014-03-03T14:41:19,25900,F58731E2-E1A2-E341-8CE6-0A9937AD097C
LIQUIDO DE FRENOS,2,24.39,2014-05-27T18:18:11,44500,e5d540d6-0f98-4993-ec09-56887cd4a27d
BATERIA,1,1136.14,2014-05-27T18:18:11,44500,e5d540d6-0f98-4993-ec09-56887cd4a27d
TAMBO,4,51.68,2014-05-27T18:18:11,44500,e5d540d6-0f98-4993-ec09-56887cd4a27d
ANTICONGELANTE,1,32.36,2014-05-27T18:18:11,44500,e5d540d6-0f98-4993-ec09-56887cd4a27d
ARANDELA CARTER,1,14.03,2014-05-27T18:18:11,44500,e5d540d6-0f98-4993-ec09-56887cd4a27d
FILTRO ACEITE,1,85.65,2014-05-27T18:18:11,44500,e5d540d6-0f98-4993-ec09-56887cd4a27d
ELEMENTO,1,214.94,2014-05-27T18:18:11,44500,e5d540d6-0f98-4993-ec09-56887cd4a27d
FILTR CALEFAC/A,1,90.89,2014-05-27T18:18:11,44500,e5d540d6-0f98-4993-ec09-56887cd4a27d
LAVADOR INTERNO,1,628.58,2014-05-27T18:18:11,44500,e5d540d6-0f98-4993-ec09-56887cd4a27d
LIMPIADOR SISTEMA DE FRENOS,1,37.64,2014-05-27T18:18:11,44500,e5d540d6-0f98-4993-ec09-56887cd4a27d
"SENTRA 2007 / SE-R SERVICIO DE TRANSP. 40,000 KM",2,304.81,2014-05-27T18:18:11,44500,e5d540d6-0f98-4993-ec09-56887cd4a27d
MATERIALES DIVERSOS,1,190,2014-05-27T18:18:11,44500,e5d540d6-0f98-4993-ec09-56887cd4a27d
ALINEACÓN Y BALANCEO,1,400,2014-05-27T18:18:11,44500,e5d540d6-0f98-4993-ec09-56887cd4a27d
LIMPIEZA DE SISTEMA DE FRENOS,1,600,2014-05-27T18:18:11,44500,e5d540d6-0f98-4993-ec09-56887cd4a27d
MOC LP,1,165.52,2014-05-27T18:18:11,44500,e5d540d6-0f98-4993-ec09-56887cd4a27d
MOTOR OIL,1,281.9,2014-05-27T18:18:11,44500,e5d540d6-0f98-4993-ec09-56887cd4a27d
AIR  LIFE,1,327.59,2014-05-27T18:18:11,44500,e5d540d6-0f98-4993-ec09-56887cd4a27d
0001 CONSUMO,1,862.07,2014-08-07T18:37:04,45160,852F652B-B8D2-445A-8CA4-E3C81D825DD7
CONSUMO DE ALIMENTOS,1,202.59,2014-06-05T14:14:48,0,97EF61E3-2B27-43FD-BE73-1E800688008B
CONSUMO,1,60.34,2014-08-12T14:30:35,15620,3A091C61-DF32-403F-A875-8AAF49E014C8
ALIMENTOS Y BEBIDAS,1,359.91,2014-06-16T22:48:34,,c60499fd-7ed1-4f77-a58b-a44b3b9c01b5
ESTACIONAMIENTO,1,427.59,2014-08-28T09:28:35,66600,1d322588-1886-4678-8890-062340e8ea4b
CONSUMO SEGÚN FOLIO 48 DE FECHA 07/04/2014,1,131.03,2014-04-21T13:28:53,15620,7315e812-d862-4d59-b761-aae111c98f94
PQT. DE ALIMENTOS TASA 16.00% (CONSUMO:2014-07-09),1,187.93,2014-07-17T11:26:38,89460,310DC529-1D51-90E7-5BA7-C98039B83F2B
ALIMENTOS Y BEBIDA,1,118.1,2014-05-22T10:42:35,87049,F7BFD833-9217-4C24-9A01-3D8884E805F3
ALIMENTOS Y BEBIDA,1,29.74,2014-05-22T10:42:35,87049,F7BFD833-9217-4C24-9A01-3D8884E805F3
ALIMENTOS Y BEBIDA,1,29.74,2014-05-22T10:42:35,87049,F7BFD833-9217-4C24-9A01-3D8884E805F3
AUTO SENCILLO 2 EJES SENCILLOS,2,60.34,2014-06-29T01:06:47,5120,A9953474-7F33-41D7-8564-037333FB0D4D
CONSUMO,1,124.15,2014-09-11T15:00:20,14050,3B9B33A9-4602-478A-A575-909D0E75ED44
ALIMENTOS Y BEBIDA,1,168.1,2014-05-09T15:19:11,66220,E355EF0B-9CA0-4760-AE0C-567F19077FAC
CONSUMO ALIMENTOS,1,431.9,2014-06-18T17:25:48,58270,a1ee6dbd-0856-4d07-8820-9710184911a9
ALIMENTOS Y BEBIDA,1,87.07,2014-08-24T08:49:32,4890,160BE827-5642-445C-B822-A2FB1151EDC1
ALIMENTOS Y BEBIDA,1,82.76,2014-08-24T08:49:32,4890,160BE827-5642-445C-B822-A2FB1151EDC1
CONSUMO,1,594.83,2014-06-11T10:28:18,64710,008D791A-53F1-E341-8C99-D9B2E10EA6EF
CONSUMO DE ALIMENTOS,1,361.19,2014-05-02T19:53:44,72400,5e68dd0b-8f46-49b0-910f-a58a5880c09d
ACTIVIA BEBIBLE MIX,1,49.9,2014-08-28T15:14:41,52172,4BA6DB0C-5989-4815-8354-57829BB92D2B
GAMESA PEKEPAKES,1,26.5,2014-08-28T15:14:41,52172,4BA6DB0C-5989-4815-8354-57829BB92D2B
GAMESA PEKEPAKES,1,26.5,2014-08-28T15:14:41,52172,4BA6DB0C-5989-4815-8354-57829BB92D2B
GAMESA PEKEPAKES,1,26.5,2014-08-28T15:14:41,52172,4BA6DB0C-5989-4815-8354-57829BB92D2B
CHAROLA BOCADILLOS,1,135,2014-08-28T15:14:41,52172,4BA6DB0C-5989-4815-8354-57829BB92D2B
ACTIVIA BEBIBLE MIX,1,49.9,2014-08-28T15:14:41,52172,4BA6DB0C-5989-4815-8354-57829BB92D2B
ACTIVIA BEBIBLE MIX,1,49.9,2014-08-28T15:14:41,52172,4BA6DB0C-5989-4815-8354-57829BB92D2B
CONSUMO,1,111.21,2014-03-26T21:01:28,15620,FB63B4FE-2470-4475-9F42-D7799575680D
Consumo de Alimentos,1,441.38,2014-06-23T21:06:46,62446,1db2d6a9-828e-4b85-b706-9d9e5136d763
CONSUMO DE ALIMENTOS,1,260.34,2014-09-05T10:39:09,91040,5AABC062-E114-4AC5-A46E-DE995870175C
CONSUMO,1,271.55,2014-03-31T16:16:58,64610,7DDB9301-EBF6-401C-AFC5-269C73F20BFF
Consumo Alimentos                  (  1),1,262.93,2014-06-28T15:00:34,39890,cb26b2c0-b993-4076-92bd-55c0a3bfee30
Consumo Bebidas                    (  1),1,32.76,2014-06-28T15:00:34,39890,cb26b2c0-b993-4076-92bd-55c0a3bfee30
Otros Consumos                     (  1),1,224.14,2014-06-28T15:00:34,39890,cb26b2c0-b993-4076-92bd-55c0a3bfee30
CARTUCHO EPSON  NEGRO TX 420W,1,188.79,2014-07-01T20:01:41,72170,E81E5D89-C014-41B3-8483-7A868F26E8DD
PAPEL XEROX RECICLADO C/500,1,51.29,2014-07-01T20:01:41,72170,E81E5D89-C014-41B3-8483-7A868F26E8DD
Consumo Comida,1,167.24,2014-05-21T17:59:35,83120,F546947C-3CD7-4F50-A630-E862EC64E4F3
CONSUMO DEL 21/08/2014,1,618.1,2014-08-21T19:43:22,4920,EDFA549C-6E4E-4F80-8DEF-EB201E763332
LIJA,1,13.91,2014-09-20T14:43:23,22320,a0db66f3-c654-4035-b707-5311cbd3f172
PLOMOS,12,8,2014-09-20T14:43:23,22320,a0db66f3-c654-4035-b707-5311cbd3f172
ACEITE MOTOR,5,113.86,2014-09-20T14:43:23,22320,a0db66f3-c654-4035-b707-5311cbd3f172
FILTRO ACEITE,1,85.65,2014-09-20T14:43:23,22320,a0db66f3-c654-4035-b707-5311cbd3f172
ARANDELA CARTER,1,14.03,2014-09-20T14:43:23,22320,a0db66f3-c654-4035-b707-5311cbd3f172
TUERCAS,2,53.76,2014-09-20T14:43:23,22320,a0db66f3-c654-4035-b707-5311cbd3f172
ELEMENTO,1,214.94,2014-09-20T14:43:23,22320,a0db66f3-c654-4035-b707-5311cbd3f172
"SERVICIO 20 Y 60,000 KM",3,329.851485,2014-09-20T14:43:23,22320,a0db66f3-c654-4035-b707-5311cbd3f172
LAVAR MOTOR,0,330,2014-09-20T14:43:23,22320,a0db66f3-c654-4035-b707-5311cbd3f172
LIMPIEZA Y AJUSTE DE FRENOS,1,330,2014-09-20T14:43:23,22320,a0db66f3-c654-4035-b707-5311cbd3f172
BALANCEO DE RUEDAS,1,330,2014-09-20T14:43:23,22320,a0db66f3-c654-4035-b707-5311cbd3f172
ALINEACION DE RUEDAS,1,330,2014-09-20T14:43:23,22320,a0db66f3-c654-4035-b707-5311cbd3f172
CARTUCHO EPSON  NEGRO TX 420W,1,188.79,2014-07-28T15:16:23,72170,3137F497-03D9-4E25-A45B-85DEE06D903D
CUAD A5 MINNIE RAYA 160 H,1,81.9,2014-07-28T15:16:23,72170,3137F497-03D9-4E25-A45B-85DEE06D903D
CONSUMO,1,157.49,2014-04-21T15:44:48,6010,AC8D59B6-6225-4768-8D9C-674B46361FB1
consumo,1,431.03,2014-03-13T15:13:58,37510,BD4EF671-E01D-475C-8332-7BB4AD403E05
CONSUMO DE ALIMENTOS,1,409.54,2014-06-19T15:43:38,44150,B1649B51-0A49-478F-B005-6082D8D4904F
SERVICIO,1,50,2014-06-19T15:43:38,44150,B1649B51-0A49-478F-B005-6082D8D4904F
CONSUMO,1,99.14,2014-08-29T12:49:00,15620,20836ED3-B3C5-4B41-9C44-605C8544647E
CONSUMO,1,338.79,2014-07-28T17:52:56,38050,E6272B98-3747-4414-A9B8-75059123B59B
PROPINA,1,40,2014-07-28T17:52:56,38050,E6272B98-3747-4414-A9B8-75059123B59B
HOSPEDAJE HABITACION,2,590,2014-07-31T09:35:13,31500,EB5E781E-B714-4711-9676-0BA4B9A30F14
HOSPEDAJE 30/07/14,1,672.27,2014-07-31T11:36:46,,B31E262E-4F7A-4A7B-8C15-5A2DFEF41F1F
JUGO DE NARANJA,1,28.8793,2014-04-03T11:14:38,78220,3CD43E26-4249-4E11-9F12-F1D42E46895C
J. MIXTO (NOPAL/NARANJA),1,28.8793,2014-04-03T11:14:38,78220,3CD43E26-4249-4E11-9F12-F1D42E46895C
CHURRO,1,4.7414,2014-04-03T11:14:38,78220,3CD43E26-4249-4E11-9F12-F1D42E46895C
CONCHA D/CHOCOLATE C/NATA,1,37.5,2014-04-03T11:14:38,78220,3CD43E26-4249-4E11-9F12-F1D42E46895C
QUESO PANELA A LA MEXICANA,1,53.0172,2014-04-03T11:14:38,78220,3CD43E26-4249-4E11-9F12-F1D42E46895C
CAFE CON LECHE,2,25.431,2014-04-03T11:14:38,78220,3CD43E26-4249-4E11-9F12-F1D42E46895C
IMPRESION CARTA B&N 100-499 H.,160,0.56,2014-07-14T14:58:52,22235,FF9B366D-F7EF-4253-A7ED-A9ABD3C5B7DC
COPIA SIN PAPEL,20,0.47,2014-07-14T14:58:52,22235,FF9B366D-F7EF-4253-A7ED-A9ABD3C5B7DC
CINTA EMPAQUE C/DESPACHADOR 2P,1,47.41,2014-07-14T14:58:52,22235,FF9B366D-F7EF-4253-A7ED-A9ABD3C5B7DC
BOLSA P/GAFETE HORIZONTAL C/12,1,17.16,2014-07-14T14:58:52,22235,FF9B366D-F7EF-4253-A7ED-A9ABD3C5B7DC
PAPEL NEON AMARILLO FACIA,1,23.09,2014-07-14T14:58:52,22235,FF9B366D-F7EF-4253-A7ED-A9ABD3C5B7DC
ALIMENTOS Y BEBIDA,1,63.36,2014-07-21T11:08:10,34000,04EE34F8-84D9-4A34-9B4E-396490952EEF
ALIMENTOS Y BEBIDA,1,29.74,2014-09-22T17:45:09,72470,778F0E76-E423-4DB9-A299-3A07B57BB2C9
ALIMENTOS Y BEBIDA,1,29.74,2014-09-22T17:45:09,72470,778F0E76-E423-4DB9-A299-3A07B57BB2C9
ALIMENTOS Y BEBIDA,1,21.55,2014-09-22T17:45:09,72470,778F0E76-E423-4DB9-A299-3A07B57BB2C9
ALIMENTOS Y BEBIDA,1,18.1,2014-09-22T17:45:09,72470,778F0E76-E423-4DB9-A299-3A07B57BB2C9
Consumo de Alimentos,1,265.09,2014-04-23T18:10:46,98000,A60057BB-45F0-44F1-9D3B-A5BE1D8B5F26
CONSUMO SEGÚN FOLIO 172 DE FECHA 24/09/2014,1,234.49,2014-09-30T18:42:44,96538,11ae3259-df18-4f03-9068-d1f5c7554466
BOING BEB MA,1,3.2,2014-07-01T10:03:05,42064,F3949681-B6F3-4DC9-B870-4EB5445CD152
BOING BEB MA,1,3.2,2014-07-01T10:03:05,42064,F3949681-B6F3-4DC9-B870-4EB5445CD152
BOING BEB UV,1,3.2,2014-07-01T10:03:05,42064,F3949681-B6F3-4DC9-B870-4EB5445CD152
BOING BEB UV,1,3.2,2014-07-01T10:03:05,42064,F3949681-B6F3-4DC9-B870-4EB5445CD152
BOING BEB MA,1,3.2,2014-07-01T10:03:05,42064,F3949681-B6F3-4DC9-B870-4EB5445CD152
BOING BEB MA,1,3.2,2014-07-01T10:03:05,42064,F3949681-B6F3-4DC9-B870-4EB5445CD152
BOING BEB UV,1,3.2,2014-07-01T10:03:05,42064,F3949681-B6F3-4DC9-B870-4EB5445CD152
BOING BEB MA,1,3.2,2014-07-01T10:03:05,42064,F3949681-B6F3-4DC9-B870-4EB5445CD152
BOING BEB UV,1,3.2,2014-07-01T10:03:05,42064,F3949681-B6F3-4DC9-B870-4EB5445CD152
BOING BEB MA,1,3.2,2014-07-01T10:03:05,42064,F3949681-B6F3-4DC9-B870-4EB5445CD152
BOING BEB UV,1,3.2,2014-07-01T10:03:05,42064,F3949681-B6F3-4DC9-B870-4EB5445CD152
CONSUMO DE ALIMENTOS,1,141.38,2014-05-22T21:59:54,36670,A4BB5499-AB18-402B-BD62-EE742A2E94B1
CONSUMO SEGÚN FOLIO 8738 DE FECHA 17/06/2014,1,862.06,2014-06-18T16:06:51,29020,c59a9e0b-4164-46c4-b2bb-42f096a580d6
PAN INTEGRAL MULTIGRANO CON LI,1,27.08,2014-09-02T05:21:57,76148,016A7EDA-1B90-4D80-BC15-A389A8C692AD
LACTEO FERMENTADO BEBIBLE CIRU,2,8.49,2014-09-02T05:21:57,76148,016A7EDA-1B90-4D80-BC15-A389A8C692AD
LACTEO FERMENTADO BEBIBLE FRES,2,8.49,2014-09-02T05:21:57,76148,016A7EDA-1B90-4D80-BC15-A389A8C692AD
LECHE ALL BRAN 236 ML.,4,9.65,2014-09-02T05:21:57,76148,016A7EDA-1B90-4D80-BC15-A389A8C692AD
TE FUZE TEA 1 LT.,1,17.25,2014-09-02T05:21:57,76148,016A7EDA-1B90-4D80-BC15-A389A8C692AD
FUZE TE VERDE LIMON FUZE TEA,2,7.68,2014-09-02T05:21:57,76148,016A7EDA-1B90-4D80-BC15-A389A8C692AD
FUZE TE BLANCO MANDARINA FUZE,5,7.68,2014-09-02T05:21:57,76148,016A7EDA-1B90-4D80-BC15-A389A8C692AD
CONSUMO SEGUN TICKET 0626,1,205.17,2014-04-01T14:16:19,22710,4AED3732-A8B9-E341-8D6E-D923CDD54279
ALIMENTOS Y BEBIDA,1,103.45,2014-09-28T18:25:52,57000,E238CE75-42A7-489F-BF48-6BD9008448FD
ALIMENTOS Y BEBIDA,1,103.45,2014-09-28T18:25:52,57000,E238CE75-42A7-489F-BF48-6BD9008448FD
CONSUMO,1,87.07,2014-06-17T17:22:23,77500,7A0E1350-E361-43C1-8BE0-6A84030EAC62
ALIMENTOS Y BEBIDA,1,96.21,2014-08-11T19:34:41,15150,1AA82FC4-22A4-40A7-9431-4CF98CB5A22C
ALIMENTOS Y BEBIDA,1,78.36,2014-08-11T19:34:41,15150,1AA82FC4-22A4-40A7-9431-4CF98CB5A22C
CONSUMO DE ALIMENTOS,1,561.21,2014-08-06T13:18:11,20240,C842E976-664A-43A3-9CF7-5E20A5F135E7
CONSUMO RESTAURANTE,1,330.01,2014-07-03T23:15:15,,54961ec1-90fb-4c8f-b8ee-9231a42976db
CONSUMO DE ALIMENTOS,1,402.59,2014-09-23T23:46:14,48324,F6C761E8-F9DD-4160-9D26-E6C5AF1B8081
KELLOGG NGRAIN MZNA,1,28.5,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
QUAKER GALLETA PASAS,1,27,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
GAMESA DORADAS MAR,1,29.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
MARIAN SURTIDO CLASI,1,95,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
KELLOGG N GRAIN FRES,1,28.5,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
SPECIAL K BARRA 132G,1,24.7,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
ALL BRAN MANZANA,1,30.5,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
BIMBO MULT NUEZ 204G,1,25.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DANUP BEBIBLE FRESA,1,44.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DANUP BEBIBLE FRESA,1,44.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
NESCAFE DECAF ORIG,1,53.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DV GENEROSA MANGO,1,7.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DV GENEROSA MANZAN,1,7.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DV GENEROSA MANGO,1,7.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DV GENEROSA MANZAN,1,7.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DV GENEROSA MANGO,1,7.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DV GENEROSA MANZAN,1,7.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DV GENEROSA MANZAN,1,7.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DV GENEROSA MANZAN,1,7.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DV GENEROSA MANZAN,1,7.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DV GENEROSA MANGO,1,7.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DV GENEROSA MANZAN,1,7.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DV GENEROSA MANZAN,1,7.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DV GENEROSA MANGO,1,7.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DV GENEROSA MANZAN,1,7.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DV GENEROSA MANGO,1,7.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DV GENEROSA MANGO,1,7.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DV GENEROSA MANGO,1,7.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DV GENEROSA MANZAN,1,7.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DV GENEROSA MANGO,1,7.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
DV GENEROSA MANGO,1,7.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
ZULKA AZUCAR ESTAND,1,19.9,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
CIEL AGUA PURIFICADA,1,22,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
CIEL AGUA PURIFICADA,1,22,2014-06-10T18:28:42,4890,B100207F-7D3D-4B0E-936B-8FD7B64095AF
ALIMENTOS Y BEBIDA,1,142.24,2014-06-05T22:14:40,77084,7C63109E-55FB-450A-B191-1B05166789C6
ALIMENTOS Y BEBIDAS,1,132.76,2014-07-28T10:28:19,,efde984c-93a9-41e0-bad0-c7cf5179bda3
RENTA HABITACION,1,800,2014-08-28T12:37:25,27000,a703de0a-8488-457f-ad4d-87885a1d3897
DUOMO LOBBY,1,261.206897,2014-08-28T12:37:25,27000,a703de0a-8488-457f-ad4d-87885a1d3897
PROPINA DUOMO LOBBY,1,30,2014-08-28T12:37:25,27000,a703de0a-8488-457f-ad4d-87885a1d3897
ROOM SERVICE,1,176.724138,2014-08-28T12:37:25,27000,a703de0a-8488-457f-ad4d-87885a1d3897
PROPINA ROOM SERVICE,1,26.51,2014-08-28T12:37:25,27000,a703de0a-8488-457f-ad4d-87885a1d3897
RENTA HABITACION,1,800,2014-08-28T12:37:25,27000,a703de0a-8488-457f-ad4d-87885a1d3897
ALIMENTOS Y BEBIDA,1,75.86,2014-05-24T18:28:54,53120,72E2E074-2407-4E23-AEFD-B5CF97C9F7F5
ALIMENTOS Y BEBIDA,1,82.76,2014-05-24T18:28:54,53120,72E2E074-2407-4E23-AEFD-B5CF97C9F7F5
CONSUMO DE ALIMENTOS,1,431.9,2014-09-02T20:40:40,11520,C3C6618B-1C1E-498F-962A-79B8EA05802A
CONSUMO,1,163.79,2014-08-06T15:08:01,31240,E94408E2-89EA-492B-9033-095D1A408BCB
IMP  COLOR CARTA 1,4,10.34482,2014-06-23T13:03:35,83146,D28FE5BD-7C19-4765-BB43-F1B1801A44F0
IMP  BN CARTA 1 A,9,0.69007,2014-06-23T13:03:35,83146,D28FE5BD-7C19-4765-BB43-F1B1801A44F0
IMPRESION CARTA B&N 1-99 HOJAS,8,0.6,2014-07-01T09:37:27,9100,A4EAC327-284C-46D2-9E13-AC8F0F1BEB27
Estacionamiento Largo Plazo TA,1,313.79,2014-05-15T10:27:39,,62eb9874-514b-4b85-baff-f285d3700c0d
MANO DE OBRA,1,912,2014-08-16T11:33:44,78220,0D4BCABB-4BB4-4EBB-B3F9-BC2F3A539147
REFACCIONES,1,1364.21,2014-08-16T11:33:44,78220,0D4BCABB-4BB4-4EBB-B3F9-BC2F3A539147
Hospedaje Paquete ( 2),1,1130.25,2014-02-21T06:36:21,,6ADF8ED2-21FE-4BE9-C5E4-98ADE6B4CDB4
Alimentos ( 1),1,129.31,2014-02-21T06:36:21,,6ADF8ED2-21FE-4BE9-C5E4-98ADE6B4CDB4
Bebidas No Alcoholicas ( 1),1,21.55,2014-02-21T06:36:21,,6ADF8ED2-21FE-4BE9-C5E4-98ADE6B4CDB4
CONSUMO DEL 21/08/2014,1,618.1,2014-08-21T19:43:22,4920,EDFA549C-6E4E-4F80-8DEF-EB201E763332
RESTAURANTE,1,698.28,2014-09-26T15:55:45,80027,b4701f6c-5081-4e3a-a451-191f2ea7070d
ROOM SERVICE,1,470.62,2014-09-26T15:55:45,80027,b4701f6c-5081-4e3a-a451-191f2ea7070d
