Series Name,Country Name,1970 [YR1970],1975 [YR1975],1980 [YR1980],1985 [YR1985],1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015]
Age dependency ratio (% of working-age population),Azerbaijan,99.20367157,83.87998737,66.29750575,60.13781613,62.2198908,62.9415005,57.9027299,47.9990145,40.1698262,38.01600762
Age dependency ratio (% of working-age population),"Bahamas, The",83.61956805,78.69969157,69.8049331,64.43550704,58.10450744,56.29065551,53.03930131,46.66265758,41.81562358,41.24625516
Age dependency ratio (% of working-age population),Bahrain,90.20680668,72.28111656,57.81091735,56.7071052,53.55301738,48.48911085,49.57942667,40.97055113,27.79554237,31.38151989
Age dependency ratio (% of working-age population),Bangladesh,91.03084771,92.79209887,91.9339283,88.07337878,83.33352448,76.37529677,69.1963152,63.20222684,58.26268285,52.48674876
Age dependency ratio (% of working-age population),Barbados,83.0764278,70.73057333,67.50820282,59.12716918,51.88976975,50.44401544,50.30413083,48.03191719,47.89660791,50.4435787
Age dependency ratio (% of working-age population),Belarus,61.2884987,55.10168126,50.60208035,48.78602524,50.49739174,51.66820879,46.94929302,43.52041635,40.45638112,42.95748424
Age dependency ratio (% of working-age population),Belgium,58.68971982,56.60888638,52.58075524,47.81824951,49.49561579,51.49869482,52.62609213,51.97048193,51.41891124,54.24780332
Age dependency ratio (% of working-age population),Belize,105.8028871,109.2305035,104.2637911,95.92738678,90.80522916,89.33145492,80.66476733,73.35263016,65.31852225,56.78092204
Age dependency ratio (% of working-age population),Benin,88.16662741,92.74159012,95.46038562,96.83219237,97.33908523,94.0787364,93.5671894,89.84625037,86.22322274,81.98219189
Age dependency ratio (% of working-age population),Bermuda,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),Bhutan,81.17886204,80.44000682,82.53780739,86.45024588,87.07336841,89.66825563,79.93755302,61.73381949,52.8944497,46.9033562
Age dependency ratio (% of working-age population),Bolivia,86.4093873,85.34071106,85.64838095,85.49550935,84.14547185,80.81367535,76.61654896,72.46899051,68.45560698,63.69471812
Age dependency ratio (% of working-age population),Bosnia and Herzegovina,64.58869053,60.27085704,52.29295974,46.46588501,44.1004394,44.13365311,43.14897105,41.16891687,39.19035496,40.73018063
Age dependency ratio (% of working-age population),Botswana,104.5226768,99.586516,96.04402048,95.22589057,89.99657134,79.21195405,69.78543383,63.12940149,57.59686504,55.27026814
Age dependency ratio (% of working-age population),Brazil,84.90769666,78.85803917,72.68104582,69.18550742,64.98983314,58.85292406,53.2140454,50.09619518,47.18366857,44.65985467
Age dependency ratio (% of working-age population),British Virgin Islands,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),Brunei Darussalam,87.20993997,77.48038101,70.79400186,68.08515448,59.13575583,55.36900204,49.11784475,44.25302247,40.42989253,37.9837884
Age dependency ratio (% of working-age population),Bulgaria,48.06410852,49.62263818,51.57885824,49.22473655,50.3288831,49.26540741,47.61287721,45.07903911,46.67550549,51.9098808
Age dependency ratio (% of working-age population),Burkina Faso,85.41138069,89.43849753,95.15250741,99.93428586,102.1678526,100.6664036,98.15605411,96.31620679,95.23231511,92.17971533
Age dependency ratio (% of working-age population),Burundi,93.52498977,94.35995319,90.93444677,96.04530562,103.2611128,108.8971895,107.0735019,92.70324254,87.16187492,89.65469504
Age dependency ratio (% of working-age population),Cabo Verde,110.6454304,113.6753812,109.0860506,98.87632621,101.2371815,100.3036807,94.54547067,77.02191198,60.21635361,52.04818784
Age dependency ratio (% of working-age population),Cambodia,92.75777448,87.76721503,77.91381685,82.59310213,89.32030633,98.04909459,80.75731652,67.93829782,58.8799811,55.56991959
Age dependency ratio (% of working-age population),Cameroon,84.67329632,89.64668052,93.62718947,97.3169257,99.23170156,98.54015088,94.80433724,90.93677524,87.46946891,84.2579892
Age dependency ratio (% of working-age population),Canada,61.5852143,52.99710578,47.39765788,46.03365676,46.91076129,47.76788631,46.44684925,44.47005886,44.14449754,47.2924045
Age dependency ratio (% of working-age population),Caribbean small states,101.7312796,93.91318666,81.79887039,74.49448027,69.3334759,66.35528893,62.20240767,57.23588639,52.12045218,48.02208211
Age dependency ratio (% of working-age population),Cayman Islands,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),Central African Republic,80.86466824,84.58716788,86.49355911,86.45386774,89.34661371,87.08092648,85.37948822,84.09929249,79.94946001,75.15610362
Age dependency ratio (% of working-age population),Central Europe and the Baltics,52.5434157,51.62768032,54.4277801,52.1955306,52.28759502,49.84522484,46.64367949,43.57856663,43.24537794,47.02674444
Age dependency ratio (% of working-age population),Chad,86.56652398,89.70799543,94.40700155,99.35230514,102.7760269,105.3118795,107.037747,107.3498053,105.0156575,100.6866607
Age dependency ratio (% of working-age population),Channel Islands,55.24215758,52.83258378,49.89886944,45.6370068,44.34251706,45.79959514,45.99202921,45.2161801,45.18104076,47.00937601
Age dependency ratio (% of working-age population),Chile,77.6536097,72.0354254,64.56829158,58.18067952,55.74030676,54.52773571,52.25987739,48.41109595,46.05697914,45.24316588
Age dependency ratio (% of working-age population),China,79.64830543,79.0043839,68.60331939,56.22462074,51.93867823,50.73181949,46.44688911,38.08612021,34.51875871,36.57994248
Age dependency ratio (% of working-age population),Colombia,97.3292782,88.78084344,79.67588531,71.86461529,68.12019825,63.19475545,56.92254018,51.78753186,47.61301301,45.61504718
Age dependency ratio (% of working-age population),Comoros,92.7089748,92.9805144,94.35673878,97.13931445,98.33077743,94.96700911,88.55704779,82.49323724,78.62173694,75.64580085
Age dependency ratio (% of working-age population),"Congo, Dem. Rep.",87.76492954,89.35554653,90.45764625,92.15239099,94.49184079,97.13278198,97.9393875,98.1485656,97.58179017,95.91275719
Age dependency ratio (% of working-age population),"Congo, Rep.",89.859755,92.55968288,94.84301174,93.59126945,90.11068235,85.56143497,82.85547434,83.8330587,84.16292626,86.19048828
Age dependency ratio (% of working-age population),Costa Rica,88.85013115,78.50373831,69.45093367,65.6384001,66.1992215,63.20911015,57.33462019,51.22519004,47.13840279,45.36935187
Age dependency ratio (% of working-age population),Cote d'Ivoire,87.22197955,90.15132043,92.23794057,91.75868839,90.31172186,86.92738294,86.15447241,88.49644457,87.37669369,83.49039142
Age dependency ratio (% of working-age population),Croatia,48.35956897,48.8462274,48.50001392,45.9143516,45.69811175,47.33637978,49.00375203,49.20550253,49.30257237,51.1207047
Age dependency ratio (% of working-age population),Cuba,76.80007936,79.08036569,65.12849486,53.91424634,47.09767908,46.57482642,46.3377092,43.81053111,43.14355137,43.42712073
Age dependency ratio (% of working-age population),Curacao,81.57287302,72.49204789,58.8729583,52.07986855,53.27366834,54.79240212,54.26101988,49.73567994,49.34668421,51.09708877
Age dependency ratio (% of working-age population),Cyprus,69.5914013,59.8338577,52.30296782,53.31703629,54.79148074,52.69322975,48.43109024,44.25178326,41.51567567,41.63596652
Age dependency ratio (% of working-age population),Czech Republic,50.06772636,53.94755913,58.63093781,54.29989814,51.99053993,46.69391382,43.22019589,40.31165815,42.12105678,49.51679064
Age dependency ratio (% of working-age population),Denmark,55.23629426,56.23862916,54.46180611,50.42665625,48.47588747,48.45273239,50.00661594,51.24474635,52.96285972,55.86142944
Age dependency ratio (% of working-age population),Djibouti,91.61956196,97.56417826,95.38534392,89.91048685,90.17383266,85.30044091,80.13566979,69.30518852,61.09493099,58.53386781
Age dependency ratio (% of working-age population),Dominica,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),Dominican Republic,101.7237695,93.07898569,84.44525019,78.50216083,74.27637413,71.18932071,67.17111106,63.70757523,60.01625385,57.75732496
Age dependency ratio (% of working-age population),Early-demographic dividend,84.75655845,83.4755576,81.49866337,79.44246343,76.75329215,72.6453892,67.36994679,62.4064447,58.28443854,55.07891049
Age dependency ratio (% of working-age population),East Asia & Pacific,79.03301408,77.69439222,69.62361119,60.02343113,55.450943,53.53562204,49.55774964,43.65853787,40.69969608,41.90654933
Age dependency ratio (% of working-age population),East Asia & Pacific (excluding high income),82.36114811,80.94063497,72.03060338,61.52760051,56.83093345,54.70015033,50.07302325,43.29038145,39.66214936,40.51593621
Age dependency ratio (% of working-age population),East Asia & Pacific (IDA & IBRD),82.37832486,81.01391594,72.10515939,61.63093208,56.97924985,54.79307379,50.11313414,43.23807104,39.58377547,40.46839373
Age dependency ratio (% of working-age population),Ecuador,94.06720376,90.16098139,85.13783822,78.9957297,73.79099502,69.5633918,65.92965824,61.89187408,58.31545909,55.57777234
Age dependency ratio (% of working-age population),"Egypt, Arab Rep.",84.15761246,81.38016045,80.58103057,81.80436552,84.09096139,80.0646438,70.67385082,61.58963794,58.36469623,62.28639809
Age dependency ratio (% of working-age population),El Salvador,95.49517096,92.47502596,89.54926552,85.92307492,79.40042527,73.68643014,71.2683617,67.61985236,60.93192935,54.32195105
Age dependency ratio (% of working-age population),Equatorial Guinea,76.3103348,100.7381069,98.88120588,66.03577294,73.6255596,85.87331003,87.45401004,80.18828813,75.50861153,72.85137474
Age dependency ratio (% of working-age population),Eritrea,88.02284834,89.37497827,91.05544384,92.57133156,94.39080622,105.5338523,92.72150001,78.8412304,80.7032132,..
Age dependency ratio (% of working-age population),Estonia,51.06617884,51.50139169,51.83729813,50.45901988,51.16860897,52.02250972,48.37360812,46.87054166,48.49356776,53.48614119
Age dependency ratio (% of working-age population),Ethiopia,87.55992809,91.03278175,93.34268628,96.60036499,97.79894822,98.82747244,98.37085869,97.13477102,91.36440761,81.56767847
Age dependency ratio (% of working-age population),Euro area,58.68053003,58.10892582,54.78497884,48.81135136,47.89130928,48.10201245,48.32899437,49.54579381,51.05135474,54.33625576
Age dependency ratio (% of working-age population),Europe & Central Asia,59.24267372,57.68104583,55.76135698,52.61301844,52.53097986,52.35923289,49.80781328,48.11432971,47.43922316,50.11547298
Age dependency ratio (% of working-age population),Europe & Central Asia (excluding high income),61.30628148,58.2513639,57.02695306,55.92652727,56.22360012,55.85390627,50.87738603,47.05679451,44.4495828,46.17951425
Age dependency ratio (% of working-age population),Europe & Central Asia (IDA & IBRD),60.59431704,57.41282406,56.45469859,55.56533251,55.94937037,55.41636236,50.46686552,46.6316826,44.09455964,46.0297552
Age dependency ratio (% of working-age population),European Union,57.32742954,56.93366237,54.90898467,50.04334797,49.56718857,49.37556044,48.77525505,48.74551811,49.72082405,53.26936683
Age dependency ratio (% of working-age population),Faroe Islands,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),Fiji,85.2640533,74.31599823,71.89941307,71.89761452,70.56371097,65.53280141,62.49874804,53.00519996,51.12382653,52.84830729
Age dependency ratio (% of working-age population),Finland,51.00528549,48.42738685,47.67740779,46.83168916,48.59833165,49.8049054,49.41241944,49.92720977,50.69190678,58.26668653
Age dependency ratio (% of working-age population),Fragile and conflict affected situations,89.47203437,91.72725012,93.0497081,92.91389554,92.05208905,89.73952386,87.00318964,84.52602538,82.25171113,79.47778949
Age dependency ratio (% of working-age population),France,60.21392978,59.27155436,56.3019305,50.72593052,51.24421669,52.82654376,53.59342434,54.03620917,54.99182633,60.26679873
Age dependency ratio (% of working-age population),French Polynesia,93.90365886,84.81118327,76.11098212,64.67072059,63.82706363,61.01517373,56.36520604,48.75571949,43.90279254,42.22968895
Age dependency ratio (% of working-age population),Gabon,68.92977374,76.75676999,83.20774675,87.79532102,90.69674766,90.97833309,87.11387901,81.32891651,76.24724102,73.10581547
Age dependency ratio (% of working-age population),"Gambia, The",76.22749301,84.27474113,92.50917361,97.22306034,95.52628099,97.33698228,94.54778034,94.86059183,95.61761596,94.16772402
Age dependency ratio (% of working-age population),Georgia,63.54795683,58.45211484,53.53823197,51.15890438,51.43088339,54.76956042,52.48541599,49.14285572,45.44624694,45.673028
Age dependency ratio (% of working-age population),Germany,58.67178107,57.6757306,52.19257328,43.7883081,44.50732286,46.00758235,46.16822433,49.54515071,51.80575811,51.80605869
Age dependency ratio (% of working-age population),Ghana,92.66251251,94.57125057,93.48876525,90.56904687,87.20408351,84.11211853,80.01571516,77.28456535,74.31059006,73.04414373
Age dependency ratio (% of working-age population),Gibraltar,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),Greece,56.31227163,56.52031814,56.03329507,52.73067375,49.00279921,47.20941023,47.20544422,49.77019853,50.68187521,56.24728159
Age dependency ratio (% of working-age population),Greenland,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),Grenada,119.8756607,95.26273549,89.00828201,79.6306951,88.00718554,85.30711077,74.82409207,60.50231514,53.27183542,50.69971504
Age dependency ratio (% of working-age population),Guam,68.80660093,63.98608769,59.40451588,55.12441783,51.15029076,55.21480897,55.86104477,56.05087384,53.29884814,51.97885169
Age dependency ratio (% of working-age population),Guatemala,90.54094267,91.2655983,93.78726768,96.0382518,94.90923152,92.27003243,88.3335197,84.07453902,77.19808271,70.85067193
Age dependency ratio (% of working-age population),Guinea,79.37165655,79.34948948,81.80515858,86.01443962,89.61708177,91.24147863,91.02818302,89.50404114,86.74105963,83.80803921
Age dependency ratio (% of working-age population),Guinea-Bissau,76.04210204,78.8614636,83.98469042,90.47658403,94.09879447,94.00589143,89.07958,84.15851805,80.6102657,78.44823833
Age dependency ratio (% of working-age population),Guyana,101.641692,93.62768565,87.84946519,77.21881703,64.67691379,66.02354092,66.76994978,70.10077823,61.68058426,51.0881276
Age dependency ratio (% of working-age population),Haiti,83.6241426,82.47848927,82.31338125,86.13722592,89.18036788,87.19367222,79.88447183,73.12851258,67.61743476,62.26450509
Age dependency ratio (% of working-age population),Heavily indebted poor countries (HIPC),89.96997883,92.06061996,93.81882815,95.47512429,96.30454148,95.26570004,94.49312652,93.06523014,91.12220676,87.464866
Age dependency ratio (% of working-age population),High income,58.92155645,56.60986723,53.87080266,50.53459492,49.79230498,49.77900591,49.05177771,48.52878319,49.05711664,51.96129864
Age dependency ratio (% of working-age population),Honduras,103.3928932,102.7097455,100.7293,97.60962195,95.540702,91.9187391,86.46540727,77.97012819,67.41133677,57.76867708
Age dependency ratio (% of working-age population),"Hong Kong SAR, China",69.46022715,57.97308197,45.50128845,44.53751149,43.23238476,40.94984364,39.29785937,35.71200499,33.28645164,37.02607447
Age dependency ratio (% of working-age population),Hungary,48.04120788,48.94072949,55.24436178,51.02727982,51.28729979,47.86900557,46.98410391,45.37560262,45.69834593,47.87781433
Age dependency ratio (% of working-age population),IBRD only,79.09433635,77.36593113,72.18076595,66.57605212,63.51041723,60.72456909,56.0488498,50.71684825,47.43761928,46.87895633
Age dependency ratio (% of working-age population),Iceland,70.6992861,64.51866108,59.66211298,57.1047391,55.26620441,55.42964732,53.51712843,51.05784013,49.39989384,51.59234209
Age dependency ratio (% of working-age population),IDA & IBRD total,81.09225908,79.87051685,75.7960704,71.43780514,69.05384132,66.59381689,62.39993328,57.75573996,54.9652487,54.2207464
Age dependency ratio (% of working-age population),IDA blend,88.2503423,87.69434251,86.50080798,85.88965906,85.0724199,82.73975899,77.68520319,72.21453724,69.23274923,68.4360301
Age dependency ratio (% of working-age population),IDA only,90.35841309,91.9318497,92.65641674,92.86710464,92.24916438,89.73873871,86.87403999,84.17124926,81.62761279,77.93528782
Age dependency ratio (% of working-age population),IDA total,89.55851766,90.32009214,90.30356686,90.20020455,89.51271858,87.10864916,83.46672135,79.81052926,77.16140266,74.54474989
Age dependency ratio (% of working-age population),India,79.10754734,77.18933974,75.05847343,73.7912027,71.71126199,68.62326078,64.30950535,60.16142739,56.26853204,52.44887197
Age dependency ratio (% of working-age population),Indonesia,87.04841774,85.16775391,80.72192132,74.44590877,67.27572483,60.8082619,54.78780566,53.15474654,51.10152122,48.95607776
Age dependency ratio (% of working-age population),"Iran, Islamic Rep.",90.1326754,86.96834456,86.92634913,93.64158285,95.02763047,85.04507953,64.35827004,44.84139746,39.64796244,40.19461907
Age dependency ratio (% of working-age population),Iraq,94.63674512,101.8896401,103.7930819,100.7824852,98.82169532,91.89961911,86.68063361,83.10609064,82.27471769,78.69586062
Age dependency ratio (% of working-age population),Ireland,71.72886206,71.29598053,69.54300675,68.33148259,62.788014,54.03235548,46.90156195,44.4010461,46.75717887,53.65716532
Age dependency ratio (% of working-age population),Isle of Man,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),Israel,64.74428076,67.4706066,71.49007056,70.82014249,67.04418892,63.22325994,61.57609814,60.9820086,60.44418264,64.12940849
Age dependency ratio (% of working-age population),Italy,55.6144678,56.95217631,54.48190066,47.50992693,45.509442,45.99543062,47.96258208,50.55252386,52.58653163,56.54415147
Age dependency ratio (% of working-age population),Jamaica,111.0123853,104.3511673,88.74686417,79.58897584,73.99754802,70.41276996,67.76167288,62.49834035,55.09501127,48.62651083
Age dependency ratio (% of working-age population),Japan,45.25135668,47.52929941,48.38446231,46.6746651,43.39526374,43.75257656,46.6376925,50.71655387,56.818687,64.46694702
Age dependency ratio (% of working-age population),Jordan,96.63300664,101.1145219,109.1937491,102.7632461,98.05107,77.57973429,73.87553841,69.80514849,67.83027644,64.77538658
Age dependency ratio (% of working-age population),Kazakhstan,75.29997059,67.50493074,62.59179782,60.55900945,59.54471785,58.53957699,52.58750166,47.70155197,44.88358817,50.27004132
Age dependency ratio (% of working-age population),Kenya,110.5587904,112.3134399,112.766342,111.8893529,106.9320135,96.59737515,89.05999285,84.03388023,82.71456517,80.86946228
Age dependency ratio (% of working-age population),Kiribati,93.42781557,81.72205936,74.7401278,74.94670092,77.64775153,80.44573418,76.31600936,67.9686363,65.57464312,63.00039147
Age dependency ratio (% of working-age population),"Korea, Dem. People's Rep.",81.04786743,75.36394121,66.26974279,53.52242046,45.2021747,47.46938189,46.92676401,47.39992132,45.86540545,44.31443847
Age dependency ratio (% of working-age population),"Korea, Rep.",83.30780224,71.33401428,60.72379168,52.43875141,44.11559817,40.60756398,39.46340716,38.38372165,37.60638899,37.211136
Age dependency ratio (% of working-age population),Kosovo,..,..,..,..,..,..,..,..,51.88038185,48.10017484
Age dependency ratio (% of working-age population),Kuwait,83.9962523,88.45467763,72.5703387,61.23852955,57.07353991,46.61510904,42.12883503,39.92427684,34.10330363,32.09031154
Age dependency ratio (% of working-age population),Kyrgyz Republic,91.9094468,84.51252174,75.10823852,73.04499873,74.13287503,75.45877869,67.92374048,57.92263791,52.57364936,55.34822176
Age dependency ratio (% of working-age population),Lao PDR,82.64066294,84.01020071,91.88300963,92.27085926,91.3604768,91.80150582,88.25568682,79.12244217,68.51838642,62.81394297
Age dependency ratio (% of working-age population),Late-demographic dividend,77.55936115,75.41639938,67.50633056,58.65107732,55.09967949,53.21499207,48.47680861,41.69548251,38.1716741,39.49409376
Age dependency ratio (% of working-age population),Latin America & Caribbean,87.83089881,84.2694575,79.43363509,74.85024947,70.04492412,65.04164487,60.51100539,56.66517277,53.00814444,50.21707825
Age dependency ratio (% of working-age population),Latin America & Caribbean (excluding high income),91.72695321,87.64495189,81.85708989,76.5603752,71.11823572,65.71622065,60.85224135,56.83713464,52.961542,49.87613301
Age dependency ratio (% of working-age population),Latin America & Caribbean (IDA & IBRD),88.31991554,84.62331593,79.9969855,75.53502362,70.73441606,65.56614967,60.88796181,56.97676131,53.22880205,50.34808326
Age dependency ratio (% of working-age population),Latvia,50.64327037,51.06065908,50.3011767,49.28845699,49.88037826,52.34791447,49.01010289,46.89077339,48.20725154,52.1836352
Age dependency ratio (% of working-age population),Least developed countries: UN classification,89.25385493,90.98653936,91.96579099,92.3939759,92.07528352,89.98697323,87.58202548,85.19747149,82.87523008,79.09975268
Age dependency ratio (% of working-age population),Lebanon,88.4830555,80.92826702,80.01200866,72.20635221,66.77694558,60.80788654,55.63233905,54.73152182,47.31361863,47.33769414
Age dependency ratio (% of working-age population),Lesotho,93.08533622,94.80294911,93.81222464,94.7272556,92.94331633,86.56471594,84.31112634,79.53808548,72.31049014,67.26589284
Age dependency ratio (% of working-age population),Liberia,84.91338665,87.82056752,90.68455967,92.91917461,92.33267542,88.87201891,86.32013658,86.35549152,86.63408028,82.87271056
Age dependency ratio (% of working-age population),Libya,97.07500405,103.2835772,102.5674293,90.85019643,81.29354928,68.68344187,58.04024393,50.24240863,49.40206479,52.37754765
Age dependency ratio (% of working-age population),Liechtenstein,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),Lithuania,59.16275142,57.33487984,53.0810389,49.68502969,50.24949911,51.61744357,50.40796047,49.0092145,47.62810827,50.06602969
Age dependency ratio (% of working-age population),Low & middle income,81.66736166,80.43349874,76.15821422,71.61315875,69.13284245,66.68806071,62.49601758,57.84510758,55.04097311,54.25391392
Age dependency ratio (% of working-age population),Low income,88.1785285,89.6881758,90.99839132,92.28874876,93.31319392,93.07269423,93.06887738,92.11892159,90.53572292,86.86262118
Age dependency ratio (% of working-age population),Lower middle income,83.38038084,82.05332894,80.15770524,78.51169722,76.3411163,72.94897535,67.97750014,63.68934399,60.0726105,57.49067599
Age dependency ratio (% of working-age population),Luxembourg,53.28353015,50.93284445,47.92622984,43.84198387,44.40931541,47.80619258,49.29458905,49.35110386,46.2780753,43.70940115
Age dependency ratio (% of working-age population),"Macao SAR, China",81.79493865,59.16599336,50.08350298,48.07102082,47.20011457,49.11662232,43.26746697,32.63514279,24.88110477,28.20867516
Age dependency ratio (% of working-age population),"Macedonia, FYR",63.19157108,59.11631318,56.64242644,50.83412244,50.13944232,49.21833049,46.53794669,44.42904793,41.67134911,41.39453471
Age dependency ratio (% of working-age population),Madagascar,95.67112332,98.53960214,98.82042297,94.94745892,92.95011863,91.69289184,94.06389086,91.34342895,86.06409044,80.33338854
Age dependency ratio (% of working-age population),Malawi,92.81206626,95.92957248,98.5458649,100.3248563,94.02748266,97.60976726,99.43962768,98.68738186,97.60016622,94.54637854
Age dependency ratio (% of working-age population),Malaysia,92.52472823,84.87052978,74.13975804,72.32651519,68.65557744,65.05009947,61.36745163,54.70058771,47.80990096,44.736656
Age dependency ratio (% of working-age population),Maldives,94.60927776,92.95412117,92.08514356,95.6938293,101.2276734,98.06286748,79.92400413,61.26389084,50.60364568,47.44842249
Age dependency ratio (% of working-age population),Mali,80.70602723,84.38977463,89.8011647,94.97919106,101.9181579,100.7978684,99.1028327,98.10156659,99.2431347,100.1835351
Age dependency ratio (% of working-age population),Malta,60.65418874,53.05997183,50.05378612,50.94031511,51.63983559,49.80002831,48.17828237,47.53651568,47.84337783,50.78462835
Age dependency ratio (% of working-age population),Marshall Islands,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),Mauritania,94.1700383,94.11541265,93.07644095,91.88656152,91.18251411,88.83510345,85.35815877,81.33554487,79.03129483,76.13809182
Age dependency ratio (% of working-age population),Mauritius,86.40147677,73.7145706,64.62243171,56.49725658,50.81821031,48.55581143,46.83788452,45.59258627,41.98861275,40.61770867
Age dependency ratio (% of working-age population),Mexico,101.0111976,100.8191628,96.47961539,87.71831766,76.14228791,68.96381926,64.77665629,60.68691681,55.88661244,51.6816002
Age dependency ratio (% of working-age population),"Micronesia, Fed. Sts.",97.1534018,106.8868357,103.6023216,96.59302085,91.15189999,88.92011523,78.69261477,74.83454611,68.76333491,62.40419148
Age dependency ratio (% of working-age population),Middle East & North Africa,92.24764342,90.88396314,89.66207955,89.30152234,88.23957831,81.24526318,70.00663774,59.62366451,54.59358948,55.13412072
Age dependency ratio (% of working-age population),Middle East & North Africa (excluding high income),93.12670802,91.79186334,90.64657673,90.85062646,89.99861002,82.66570337,71.15589828,60.64489642,56.45166208,57.54638062
Age dependency ratio (% of working-age population),Middle East & North Africa (IDA & IBRD),93.12670802,91.79186334,90.64657673,90.85062646,89.88591352,82.46568226,70.84578133,60.29046843,56.15104028,57.31850023
Age dependency ratio (% of working-age population),Middle income,81.17942354,79.7305535,75.00529438,69.97602036,67.1505639,64.39286612,59.66672259,54.42715895,51.21800979,50.45408091
Age dependency ratio (% of working-age population),Moldova,62.45956523,55.45428898,52.61412355,53.25992884,56.75829279,55.30836014,48.98171454,39.7474803,36.35712867,34.57382903
Age dependency ratio (% of working-age population),Monaco,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),Mongolia,96.27517278,100.7611734,92.99136142,86.83656655,80.48100283,73.6832638,62.50302477,48.48866343,44.43823832,47.64877847
Age dependency ratio (% of working-age population),Montenegro,67.07216871,61.06307103,54.89204235,50.35751629,50.79191794,49.74785431,49.28166025,49.79454677,48.3158981,47.71037386
Age dependency ratio (% of working-age population),Morocco,104.7432954,97.72244949,87.36689879,81.673522,77.21655937,71.82942978,63.42307507,56.68279621,51.78266425,50.12828426
Age dependency ratio (% of working-age population),Mozambique,86.48357793,87.95821023,88.80754485,92.85004141,102.1731239,91.95936273,92.54240547,95.12596009,96.71393369,94.7503396
Age dependency ratio (% of working-age population),Myanmar,85.4220847,83.8872221,81.6763557,78.23941188,71.95353903,64.98021238,57.91808981,55.27626338,53.43074051,49.05411871
Age dependency ratio (% of working-age population),Namibia,87.58827913,91.39223439,100.2588358,101.9057741,88.68903203,83.14183796,77.83517326,75.87315084,71.00642041,67.266778
Age dependency ratio (% of working-age population),Nauru,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),Nepal,78.01607361,78.60093495,80.79637156,83.13503051,85.17520453,82.61240624,81.13781627,79.19805596,72.84302584,61.84173909
Age dependency ratio (% of working-age population),Netherlands,60.11538944,57.13936331,51.34188133,45.70627112,44.59063656,45.79826429,47.14469489,47.80077996,49.08485693,53.26548811
Age dependency ratio (% of working-age population),New Caledonia,70.1455352,70.25030196,68.45080587,65.90223101,58.39087278,54.37355635,52.88592529,50.97348487,49.32297235,47.92017729
